date,dS (m3)
2019-01-08,
2019-01-13,0.0
2019-01-18,1385758.806684
2019-01-23,1388866.0630453
2019-01-28,1391973.3194065
2019-02-02,10933284.0584747
2019-02-07,-14578698.459499002
2019-02-12,-72354323.6186568
2019-02-17,57458769.1251962
2019-02-22,-9719704.3068313
2019-02-27,-11254654.253070101
2019-03-04,-11547286.5886152
2019-03-09,-9392923.5278992
2019-03-14,-19522401.4628539
2019-03-19,-60083396.0135776
2019-03-24,-33672421.7917283
2019-03-25,37581368.7298054
2019-03-29,-71642639.71201989
2019-04-03,4739014.8725739
2019-04-08,-25079253.0070389
2019-04-10,9778698.5148333
2019-04-13,-24070508.544346802
2019-04-18,-7712873.8321626
2019-04-23,-37573671.635362096
2019-04-26,37538932.0212737
2019-04-28,-62129518.2409601
2019-05-03,-38870507.9918185
2019-05-08,-1881357.6829924
2019-05-12,27356178.999655303
2019-05-13,-54293072.076934
2019-05-18,-31158330.0299934
2019-05-23,35326548.208051905
2019-05-28,829004.4268221
2019-06-02,-39184734.7293187
2019-06-07,45198169.081744604
2019-06-12,3253529.8053272003
2019-06-13,1193540.4430584998
2019-06-17,4805024.3176878
2019-06-22,2995773.9456840996
2019-06-27,-9185250.1327457
2019-06-29,33289080.8400875
2019-07-02,-5678218.317275
2019-07-07,74845202.581645
2019-07-12,-104194859.2965966
2019-07-15,92609891.5562954
2019-07-17,-76442190.1537909
2019-07-22,16635620.0927389
2019-07-27,4137528.8690971006
2019-07-31,19271949.9625402
2019-08-01,-42846980.936755404
2019-08-06,82038793.7700237
2019-08-11,82682964.7050349
2019-08-16,23817741.2679099
2019-08-21,12008970.3537598
2019-08-26,-42432255.1276512
2019-08-31,-42740498.9713538
2019-09-01,12183520.3868987
2019-09-05,54847286.6147143
2019-09-10,65206208.7654913
2019-09-15,27264250.3544519
2019-09-17,-39082422.053856395
2019-09-20,79014049.5976607
2019-09-25,8063699.4842939
2019-09-30,49810330.5409695
2019-10-03,-41210550.51914059
2019-10-05,25943122.5721719
2019-10-10,6041885.227066
2019-10-15,6101211.5514481
2019-10-19,2499609.4686507997
2019-10-20,-4791661.4468513
2019-10-25,-2283534.3958286
2019-10-30,-11705040.3673089
2019-11-04,-11928172.4408406
2019-11-09,19191234.180672
2019-11-14,9662850.5503843
2019-11-19,-10753575.600068301
2019-11-20,74788184.7862576
2019-11-24,-33272756.0309622
2019-11-29,1623139.16335
2019-12-04,-35805120.8105939
2019-12-06,627602.1051382
2019-12-09,26868861.8332633
2019-12-14,-34952222.0014703
2019-12-19,50401773.1047919
2019-12-22,-5443850.9812762
2019-12-24,7900667.759377301
2019-12-29,-2522993.1441631
2020-01-03,-45385909.9499963
2020-01-07,40105139.558016405
2020-01-08,-9137781.0306594
2020-01-13,11362975.1492895
2020-01-18,-25067806.9592794
2020-01-23,14583821.6449599
2020-01-28,-15465941.6341468
2020-02-02,-5119294.1550347
2020-02-07,-11804033.1262488
2020-02-08,10593400.2444533
2020-02-12,-25014791.9771106
2020-02-17,-62036738.8241344
2020-02-22,36595667.553228505
2020-02-24,16614007.2003458
2020-02-27,-30850733.7015443
2020-03-03,-20596385.4600646
2020-03-08,-6960021.8352009
2020-03-11,3828603.9230702
2020-03-13,-42442238.4186384
2020-03-18,-18290619.1818383
2020-03-23,-20146951.1248348
2020-03-27,-11618064.454065401
2020-03-28,-43999716.1320441
2020-04-02,7467152.1252732
2020-04-07,-11791675.3331731
2020-04-12,-20961266.156503398
2020-04-17,-6225751.229095699
2020-04-22,-8585219.787918799
2020-04-27,-3705857.2217841
2020-04-28,-2458873.5677086
2020-05-02,-31679115.6789338
2020-05-07,-10735577.8412496
2020-05-12,-14189997.3115192
2020-05-14,17642247.7062739
2020-05-17,-32195853.7387737
2020-05-22,-15034223.574998101
2020-05-27,-15604120.507897701
2020-05-30,44356331.9110716
2020-06-01,-59568813.7422789
2020-06-06,7736823.9121085005
2020-06-11,1833834.0582173
2020-06-15,21076041.0098803
2020-06-16,523829.76854160003
2020-06-21,-15256116.795734199
2020-06-26,34481920.5993917
2020-07-01,-25153298.5371234
2020-07-06,21830833.0482033
2020-07-11,3253150.9451986
2020-07-16,-11309815.1881587
2020-07-17,10759718.5552986
2020-07-21,-15342825.871186899
2020-07-26,-4925948.3176709
2020-07-31,86303288.4638036
2020-08-02,-76606016.2255451
2020-08-05,2621043.4573446997
2020-08-10,18657172.9049243
2020-08-15,-18348079.6418899
2020-08-18,13451017.7433528
2020-08-20,24975471.0206213
2020-08-25,39399441.1971147
2020-08-30,-80628898.53097351
2020-09-03,152306402.7169195
2020-09-04,-115025331.9849906
2020-09-09,28719856.8817757
2020-09-14,17499313.6223687
2020-09-19,-31257159.368973304
2020-09-24,65146391.766874395
2020-09-29,35547592.1971712
2020-10-04,35191041.5697547
2020-10-05,-88924237.8633535
2020-10-09,123432276.738396
2020-10-14,32036344.852846503
